PARENT_OBJECT,RELATIONSHIP_NAME,RELATIONSHIP_TYPE,CHILD_OBJECT,PARENT_TABLE,CHILD_TABLE,JOIN_COLUMNS,BUSINESS_PURPOSE,HURON_EXPOSE,NOTES
Award,versionHistory,MANY_TO_ONE,VersionHistorySearchBo,AWARD,VERSION_HISTORY,(not declared),Framework versioning bookkeeping,N,"framework versioning bookkeeping, not a business relationship | child rows: 372,669"
Award,allFundingProposals,ONE_TO_MANY,AwardFundingProposal,AWARD,AWARD_FUNDING_PROPOSALS,(not declared),Funding proposals incl. inactive,N,"duplicate of fundingProposals without an inverse FK | child rows: 13,657"
Award,approvedEquipmentItems,ONE_TO_MANY,AwardApprovedEquipment,AWARD,AWARD_APPROVED_EQUIPMENT,awardId,Approved equipment authorizations,Y, | child rows: 3
Award,approvedForeignTravelTrips,ONE_TO_MANY,AwardApprovedForeignTravel,AWARD,AWARD_APPROVED_FOREIGN_TRAVEL,awardId,Approved foreign travel authorizations,Y, | child rows: 0
Award,awardAmountInfos,ONE_TO_MANY,AwardAmountInfo,AWARD,AWARD_AMOUNT_INFO,awardId,Obligated/anticipated money and dates per transaction,Y," | child rows: 923,457"
Award,awardApprovedSubawards,ONE_TO_MANY,AwardApprovedSubaward,AWARD,AWARD_APPROVED_SUBAWARDS,awardId,Approved subaward authorizations,Y," | child rows: 9,336"
Award,awardAttachments,ONE_TO_MANY,AwardAttachment,AWARD,AWARD_ATTACHMENT,awardId,Attachment metadata,Y," | child rows: 1,861,982"
Award,awardBudgetLimits,ONE_TO_MANY,AwardBudgetLimit,AWARD,AWARD_BUDGET_LIMIT,awardId,Budget limits,Y," | child rows: 63,051"
Award,awardCfdas,ONE_TO_MANY,AwardCfda,AWARD,AWARD_CFDA,awardId,CFDA / ALN numbers,Y," | child rows: 187,993"
Award,awardCgbList,ONE_TO_MANY,AwardCgb,AWARD,AWARD_CGB,awardId,Contracts & Grants Billing configuration,N,"EXCLUDED on evidence, not name: stock Kuali child collection with a real UI panel and DataDictionary, but production carries no information - 7 of 14 business fields are entirely NULL and the other 6 are 'N' on all 154,705 rows (zero variance) | child rows: 154,701"
Award,awardCloseoutItems,ONE_TO_MANY,AwardCloseout,AWARD,AWARD_CLOSEOUT,awardId,Closeout checklist and dates,Y," | child rows: 1,265,423"
Award,awardComments,ONE_TO_MANY,AwardComment,AWARD,AWARD_COMMENT,awardId,Free-text comments by type,Y," | child rows: 2,595,983"
Award,awardCostShares,ONE_TO_MANY,AwardCostShare,AWARD,AWARD_COST_SHARE,awardId,Cost share commitments,Y," | child rows: 7,618"
Award,awardCustomDataList,ONE_TO_MANY,AwardCustomData,AWARD,AWARD_CUSTOM_DATA,awardId,BU custom attribute values (EAV),Y," | child rows: 6,930,491"
Award,awardDirectFandADistributions,ONE_TO_MANY,AwardDirectFandADistribution,AWARD,AWARD_AMT_FNA_DISTRIBUTION,awardId,Direct / F&A distribution by period,Y," | child rows: 458,011"
Award,awardFandaRate,ONE_TO_MANY,AwardFandaRate,AWARD,AWARD_IDC_RATE,awardId,F&A / IDC rates applied,Y, | child rows: 10
Award,awardHierarchy,ONE_TO_MANY,AwardHierarchy,AWARD,AWARD_HIERARCHY,awardNumber,"Parent/child award hierarchy (root, parent, originating award)",Y,"associates on AWARD_NUMBER, not AWARD_ID - version independent; not declared as an OJB collection, KC navigates it via AwardHierarchyService | child rows: 43,239"
Award,awardNotepads,ONE_TO_MANY,AwardNotepad,AWARD,AWARD_NOTEPAD,awardId,Notepad entries,Y, | child rows: 34
Award,awardNotifications,ONE_TO_MANY,AwardNotification,AWARD,AWARD_NOTIFICATION,owningDocumentIdFk,Notification log,N,notification send log - operational | child rows: 2
Award,awardReportTermItems,ONE_TO_MANY,AwardReportTerm,AWARD,AWARD_REPORT_TERMS,awardId,Required reports and their schedule,Y," | child rows: 839,095"
Award,awardSponsorTerms,ONE_TO_MANY,AwardSponsorTerm,AWARD,AWARD_SPONSOR_TERM,awardId,Sponsor terms attached to the award,Y," | child rows: 4,063,797"
Award,awardTransferringSponsors,ONE_TO_MANY,AwardTransferringSponsor,AWARD,AWARD_TRANSFERRING_SPONSOR,awardId,Transferring sponsors,Y, | child rows: 0
Award,awardUnitContacts,ONE_TO_MANY,AwardUnitContact,AWARD,AWARD_UNIT_CONTACTS,awardId,Unit administrative contacts,Y," | child rows: 386,214"
Award,currentVersionBudgets,ONE_TO_MANY,AwardBudgetExt,AWARD,AWARD_BUDGET_EXT,awardId,Award budget versions,Y," | child rows: 80,248"
Award,fundingProposals,ONE_TO_MANY,AwardFundingProposal,AWARD,AWARD_FUNDING_PROPOSALS,awardId,Institutional Proposals funding this award,Y," | child rows: 13,657"
Award,keywords,ONE_TO_MANY,AwardScienceKeyword,AWARD,AWARD_SCIENCE_KEYWORD,awardId,Science keywords,Y, | child rows: 0
Award,paymentScheduleItems,ONE_TO_MANY,AwardPaymentSchedule,AWARD,AWARD_PAYMENT_SCHEDULE,awardId,Payment schedule,Y, | child rows: 3
Award,projectPersons,ONE_TO_MANY,AwardPerson,AWARD,AWARD_PERSONS,awardId,Key personnel on the award,Y," | child rows: 345,596"
Award,specialReviews,ONE_TO_MANY,AwardSpecialReview,AWARD,AWARD_SPECIAL_REVIEW,awardId,Compliance special reviews (IRB/IACUC/etc.),Y," | child rows: 134,513"
Award,sponsorContacts,ONE_TO_MANY,AwardSponsorContact,AWARD,AWARD_SPONSOR_CONTACTS,awardId,Sponsor-side contacts,Y, | child rows: 16
Award,syncChanges,ONE_TO_MANY,AwardSyncChange,AWARD,AWARD_SYNC_CHANGE,awardId,Award hierarchy sync change log,N,"hierarchy sync change log - operational, not conversion data | child rows: 0"
Award,syncStatuses,ONE_TO_MANY,AwardSyncStatus,AWARD,AWARD_SYNC_STATUS,parentAwardId,Award hierarchy sync status,N,"hierarchy sync status - operational, not conversion data | child rows: 0"
Award,extension,ONE_TO_ONE,AwardExtension,AWARD,AWARD_EXTENSION,awardId,BU-specific extended Award attributes,Y," | child rows: 282,464"
AwardSpecialReview,approvalType,MANY_TO_ONE,SpecialReviewApprovalType,AWARD_SPECIAL_REVIEW,SP_REV_APPROVAL_TYPE,approvalTypeCode,SpecialReviewApprovalType,Y, | child rows: 3
AwardDirectFandADistribution,awardAmountInfoId,MANY_TO_ONE,AwardAmountInfo,AWARD_AMT_FNA_DISTRIBUTION,AWARD_AMOUNT_INFO,awardAmountInfoId,AwardAmountInfo,Y," | child rows: 923,457"
AwardBudgetExt,awardBudgetDocument,MANY_TO_ONE,AwardBudgetDocument,AWARD_BUDGET_EXT,BUDGET_DOCUMENT,documentNumber,AwardBudgetDocument,Y," | child rows: 80,256"
AwardBudgetExt,awardBudgetStatus,MANY_TO_ONE,AwardBudgetStatus,AWARD_BUDGET_EXT,AWARD_BUDGET_STATUS,awardBudgetStatusCode,AwardBudgetStatus,Y, | child rows: 10
AwardBudgetExt,awardBudgetType,MANY_TO_ONE,AwardBudgetType,AWARD_BUDGET_EXT,AWARD_BUDGET_TYPE,awardBudgetTypeCode,AwardBudgetType,Y, | child rows: 2
AwardPaymentSchedule,awardReportTerm,MANY_TO_ONE,AwardReportTerm,AWARD_PAYMENT_SCHEDULE,AWARD_REPORT_TERMS,awardReportTermId,AwardReportTerm,Y," | child rows: 839,095"
AwardCloseout,closeoutReportType,MANY_TO_ONE,CloseoutReportType,AWARD_CLOSEOUT,CLOSEOUT_REPORT_TYPE,closeoutReportCode,CloseoutReportType,Y, | child rows: 6
AwardComment,commentType,MANY_TO_ONE,CommentType,AWARD_COMMENT,COMMENT_TYPE,commentTypeCode,CommentType,Y, | child rows: 23
AwardSponsorContact,contactRole,MANY_TO_ONE,ContactType,AWARD_SPONSOR_CONTACTS,CONTACT_TYPE,roleCode,ContactType,Y, | child rows: 3
AwardCostShare,costShareType,MANY_TO_ONE,CostShareType,AWARD_COST_SHARE,COST_SHARE_TYPE,costShareTypeCode,CostShareType,Y, | child rows: 3
AwardCustomData,customAttribute,MANY_TO_ONE,CustomAttribute,AWARD_CUSTOM_DATA,CUSTOM_ATTRIBUTE,customAttributeId,CustomAttribute,Y, | child rows: 107
AwardReportTerm,distribution,MANY_TO_ONE,Distribution,AWARD_REPORT_TERMS,DISTRIBUTION,ospDistributionCode,Distribution,Y, | child rows: 2
AwardAttachment,file,MANY_TO_ONE,AttachmentFile,AWARD_ATTACHMENT,ATTACHMENT_FILE,fileId,AttachmentFile,Y," | child rows: 171,959"
AwardReportTerm,frequency,MANY_TO_ONE,Frequency,AWARD_REPORT_TERMS,FREQUENCY,frequencyCode,Frequency,Y, | child rows: 28
AwardReportTerm,frequencyBase,MANY_TO_ONE,FrequencyBase,AWARD_REPORT_TERMS,FREQUENCY_BASE,frequencyBaseCode,FrequencyBase,Y, | child rows: 8
AwardApprovedSubaward,organization,MANY_TO_ONE,Organization,AWARD_APPROVED_SUBAWARDS,ORGANIZATION,organizationId,Organization,Y," | child rows: 7,557"
AwardFundingProposal,proposal,MANY_TO_ONE,InstitutionalProposalBoLite,AWARD_FUNDING_PROPOSALS,PROPOSAL,proposalId,InstitutionalProposalBoLite,Y," | child rows: 130,121"
AwardReportTerm,report,MANY_TO_ONE,Report,AWARD_REPORT_TERMS,REPORT,reportCode,Report,Y, | child rows: 54
AwardReportTerm,reportClass,MANY_TO_ONE,ReportClass,AWARD_REPORT_TERMS,REPORT_CLASS,reportClassCode,ReportClass,Y, | child rows: 11
AwardPaymentSchedule,reportStatus,MANY_TO_ONE,ReportStatus,AWARD_PAYMENT_SCHEDULE,REPORT_STATUS,reportStatusCode,ReportStatus,Y, | child rows: 4
AwardScienceKeyword,scienceKeyword,MANY_TO_ONE,ScienceKeyword,AWARD_SCIENCE_KEYWORD,SCIENCE_KEYWORD,scienceKeywordCode,ScienceKeyword,Y, | child rows: 0
AwardSpecialReview,specialReviewType,MANY_TO_ONE,SpecialReviewType,AWARD_SPECIAL_REVIEW,SPECIAL_REVIEW,specialReviewTypeCode,SpecialReviewType,Y, | child rows: 8
AwardTransferringSponsor,sponsor,MANY_TO_ONE,Sponsor,AWARD_TRANSFERRING_SPONSOR,SPONSOR,sponsorCode,Sponsor of record,Y," | child rows: 7,552"
AwardSponsorTerm,sponsorTerm,MANY_TO_ONE,SponsorTerm,AWARD_SPONSOR_TERM,SPONSOR_TERM,sponsorTermId,SponsorTerm,Y, | child rows: 293
AwardBudgetExt,super,MANY_TO_ONE,Budget,AWARD_BUDGET_EXT,BUDGET,budgetId,Budget,Y," | child rows: 80,248"
AwardAttachment,type,MANY_TO_ONE,AwardAttachmentType,AWARD_ATTACHMENT,AWARD_ATTACHMENT_TYPE,typeCode,AwardAttachmentType,Y, | child rows: 10
AwardCostShare,unit,MANY_TO_ONE,Unit,AWARD_COST_SHARE,UNIT,unitNumber,Unit,Y," | child rows: 5,241"
AwardUnitContact,unitAdministratorType,MANY_TO_ONE,UnitAdministratorType,AWARD_UNIT_CONTACTS,UNIT_ADMINISTRATOR_TYPE,unitAdministratorTypeCode,UnitAdministratorType,Y, | child rows: 11
AwardUnitContact,unitAdministratorUnit,MANY_TO_ONE,Unit,AWARD_UNIT_CONTACTS,UNIT,unitAdministratorUnitNumber,Unit,Y," | child rows: 5,241"
AwardAmountInfo,award,MANY_TO_ONE_INVERSE,Award,AWARD_AMOUNT_INFO,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardAttachment,award,MANY_TO_ONE_INVERSE,Award,AWARD_ATTACHMENT,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardCloseout,award,MANY_TO_ONE_INVERSE,Award,AWARD_CLOSEOUT,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardDirectFandADistribution,award,MANY_TO_ONE_INVERSE,Award,AWARD_AMT_FNA_DISTRIBUTION,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardNotepad,award,MANY_TO_ONE_INVERSE,Award,AWARD_NOTEPAD,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardReportTerm,award,MANY_TO_ONE_INVERSE,Award,AWARD_REPORT_TERMS,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardUnitContact,award,MANY_TO_ONE_INVERSE,Award,AWARD_UNIT_CONTACTS,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardBudgetExt,award,MANY_TO_ONE_INVERSE,Award,AWARD_BUDGET_EXT,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardFundingProposal,award,MANY_TO_ONE_INVERSE,Award,AWARD_FUNDING_PROPOSALS,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardScienceKeyword,award,MANY_TO_ONE_INVERSE,Award,AWARD_SCIENCE_KEYWORD,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardPerson,award,MANY_TO_ONE_INVERSE,Award,AWARD_PERSONS,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardSponsorContact,award,MANY_TO_ONE_INVERSE,Award,AWARD_SPONSOR_CONTACTS,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardSpecialReview,sequenceOwner,MANY_TO_ONE_INVERSE,Award,AWARD_SPECIAL_REVIEW,AWARD,awardId,Award,N,"inverse navigation back to the root; the child dataset already carries the root keys | child rows: 282,464"
AwardBudgetExt,awardBudgetLimits,ONE_TO_MANY,AwardBudgetLimit,AWARD_BUDGET_EXT,AWARD_BUDGET_LIMIT,budgetId,Budget limits,Y," | child rows: 63,051"
AwardReportTerm,awardReportTermRecipients,ONE_TO_MANY,AwardReportTermRecipient,AWARD_REPORT_TERMS,AWARD_REP_TERMS_RECNT,awardReportTermId,Report recipients,Y, | child rows: 0
AwardBudgetExt,budgetPeriods,ONE_TO_MANY,AwardBudgetPeriodExt,AWARD_BUDGET_EXT,AWARD_BUDGET_PERIOD_EXT,budgetId,AwardBudgetPeriodExt,Y," | child rows: 84,965"
AwardPerson,creditSplits,ONE_TO_MANY,AwardPersonCreditSplit,AWARD_PERSONS,AWARD_PERSON_CREDIT_SPLITS,awardContactId,Credit split percentages,Y," | child rows: 216,156"
AwardSpecialReview,specialReviewExemptions,ONE_TO_MANY,AwardSpecialReviewExemption,AWARD_SPECIAL_REVIEW,AWARD_EXEMPT_NUMBER,awardSpecialReviewId,AwardSpecialReviewExemption,Y," | child rows: 2,684"
AwardPerson,units,ONE_TO_MANY,AwardPersonUnit,AWARD_PERSONS,AWARD_PERSON_UNITS,awardContactId,Units the person is credited under,Y," | child rows: 353,105"
AwardPersonCreditSplit,awardPerson,MANY_TO_ONE,AwardPerson,AWARD_PERSON_CREDIT_SPLITS,AWARD_PERSONS,awardContactId,AwardPerson,Y," | child rows: 345,596"
AwardPersonUnit,awardPerson,MANY_TO_ONE,AwardPerson,AWARD_PERSON_UNITS,AWARD_PERSONS,awardContactId,AwardPerson,Y," | child rows: 345,596"
AwardReportTermRecipient,awardReportTerm,MANY_TO_ONE,AwardReportTerm,AWARD_REP_TERMS_RECNT,AWARD_REPORT_TERMS,awardReportTermId,AwardReportTerm,Y," | child rows: 839,095"
AwardSpecialReviewExemption,awardSpecialReview,MANY_TO_ONE,AwardSpecialReview,AWARD_EXEMPT_NUMBER,AWARD_SPECIAL_REVIEW,awardSpecialReviewId,AwardSpecialReview,Y," | child rows: 134,513"
AwardBudgetPeriodExt,budget,MANY_TO_ONE,AwardBudgetExt,AWARD_BUDGET_PERIOD_EXT,AWARD_BUDGET_EXT,budgetId,AwardBudgetExt,Y," | child rows: 80,248"
AwardReportTermRecipient,contactType,MANY_TO_ONE,ContactType,AWARD_REP_TERMS_RECNT,CONTACT_TYPE,contactTypeCode,ContactType,Y, | child rows: 3
AwardSpecialReviewExemption,exemptionType,MANY_TO_ONE,ExemptionType,AWARD_EXEMPT_NUMBER,EXEMPTION_TYPE,exemptionTypeCode,ExemptionType,Y, | child rows: 8
AwardPersonCreditSplit,investigatorCreditType,MANY_TO_ONE,InvestigatorCreditType,AWARD_PERSON_CREDIT_SPLITS,INV_CREDIT_TYPE,invCreditTypeCode,InvestigatorCreditType,Y, | child rows: 1
AwardReportTermRecipient,rolodex,MANY_TO_ONE,Rolodex,AWARD_REP_TERMS_RECNT,ROLODEX,rolodexId,Rolodex,Y," | child rows: 12,942"
AwardBudgetPeriodExt,super,MANY_TO_ONE,BudgetPeriod,AWARD_BUDGET_PERIOD_EXT,BUDGET_PERIODS,budgetPeriodId,BudgetPeriod,Y," | child rows: 84,965"
AwardPersonUnit,unit,MANY_TO_ONE,Unit,AWARD_PERSON_UNITS,UNIT,unitNumber,Unit,Y," | child rows: 5,241"
AwardBudgetPeriodExt,awardBudgetPeriodFnAAmounts,ONE_TO_MANY,AwardBudgetPeriodSummaryCalculatedAmount,AWARD_BUDGET_PERIOD_EXT,AWD_BGT_PER_SUM_CALC_AMT,budgetPeriodId,AwardBudgetPeriodSummaryCalculatedAmount,Y, | child rows: 3
AwardBudgetPeriodExt,awardBudgetPeriodFringeAmounts,ONE_TO_MANY,AwardBudgetPeriodSummaryCalculatedAmount,AWARD_BUDGET_PERIOD_EXT,AWD_BGT_PER_SUM_CALC_AMT,budgetPeriodId,AwardBudgetPeriodSummaryCalculatedAmount,Y, | child rows: 3
AwardBudgetPeriodExt,budgetLineItems,ONE_TO_MANY,AwardBudgetLineItemExt,AWARD_BUDGET_PERIOD_EXT,AWARD_BUDGET_DETAILS_EXT,budgetPeriodId,AwardBudgetLineItemExt,Y," | child rows: 845,780"
AwardPersonUnit,creditSplits,ONE_TO_MANY,AwardPersonUnitCreditSplit,AWARD_PERSON_UNITS,AWARD_PERS_UNIT_CRED_SPLITS,awardPersonUnitId,Credit split percentages,Y," | child rows: 198,926"
